,,ECOLIFE 5W30 SYNT. 1L,,,1L,ECL1L,,,
,SYNER-Z 5W-30,SYNER-Z 5W30 20L,"Синтетичне моторне мастило                                                                                               Допуски виробників: VW 502.00/505.00/505.01, MB 229.31, MB 229.51,                                BMW LL 2004, Dexos-2
Сервісна класифікація: ACEA C3, API SM/CF",,20L,SYZ20L,"Полностью синтетическое высокоэффективное масло 5W-30 с низким уровнем сульфатной зольности и низким содержанием фосфора и серы для современных автомобилей с бензиновыми и дизельными двигателями, в том числе оборудованных системами доочистки выхлопных газов, для которых предусмотрено масло класса ACEA C3.
Не смешивайте это масло с другими типами масел. В противном случае длительный срок службы и защита устройства дополнительной очистки выхлопных газов не может быть гарантировано.

Comma рекомендует использовать данный продукт в перечисленных ниже случаях. BMW LL-04; MB 229.31, MB 229.51, MB 229.52; dexos 2; VW 502 00, VW 505 00; ACEA C3; API SN CF",,
,,SYNER-Z 5W30 5L,,,5L,SYZ5L,,,
,,SYNER-Z 5W30 4L,,,4L,SYZ4L,,,
,,SYNER-Z 5W30 1L,,,1L,SYZ1L,,,
,PRO-TECH 5W-30,PRO-TECH 5W30 20L,"Синтетичне моторне мастило                                                                                               Допуски виробників: PSA B71 2290
Сервісна класифікація: ACEA C2, API SM/CF",,20L,PTC20L,"Полностью синтетическое высокоэффективное масло 5W-30 с низким уровнем сульфатной зольности и низким содержанием фосфора и серы для современных автомобилей с бензиновыми и дизельными двигателями, в том числе оборудованных системами доочистки выхлопных газов, для которых предусмотрено масло класса ACEA C2.
Не смешивайте это масло с другими типами масел. В противном случае защита устройства дополнительной очистки выхлопных газов не может быть гарантирована.

Comma рекомендует использовать данный продукт в перечисленных ниже случаях. PSA B71 2290; ACEA C2; API SN",,
,,PRO-TECH 5W30 5L,,,5L,PTC5L,,,
,,PRO-TECH 5W30 1L,,,1L,PTC1L,,,
,ECOREN 5W-30,ECOREN 5W30 SYNT. 5L,"Синтетичне моторне мастило                                                                                               Допуски виробників: RN0720
Сервісна класифікація: ACEA C4
",,5L,ECR5L,"Полностью синтетическое высокоэффективное масло 5W-30 с низким уровнем сульфатной зольности и низким содержанием фосфора и серы для современных автомобилей с бензиновыми и дизельными двигателями, в том числе оборудованных системами доочистки выхлопных газов, для которых предусмотрено масло класса ACEA C4.
Не смешивайте это масло с другими типами масел. В противном случае защита устройства дополнительной очистки выхлопных газов не может быть гарантировано. 

Comma рекомендует использовать данный продукт в перечисленных ниже случаях. Renault RN0720; MB 226.51; ACEA C4",,
,,ECOREN 5W30 SYNT. 1L,,,1L,ECR1L,,,
,LONG LIFE 5W-30,LONG LIFE 5W30 20L,"Синтетичне моторне мастило                                                                                               Допуски виробників: GM-LL-A-025, GM-LL-B-025; MB 229.5; BMW LL-01; VW 502 00, VW 505 00; RN 0700
Сервісна класифікація: ACEA A3/B4; API SL/CF",,20L,GML20L,"Полностью синтетическое высокоэффективное масло 5W-30 для автомобилей GM/Vauxhall/Opel с бензиновыми и дизельными двигателями, в том числе с увеличенным межсервисным интервалом.
Не смешивайте это масло с другими типами масел. В противном случае длительный срок службы гарантироваться не будет.

Comma рекомендует использовать данный продукт в перечисленных ниже случаях. GM-LL-A-025, GM-LL-B-025; MB 229.5; VW 502 00, VW 505 00; ACEA A3/B4; API SL CF",,
,,LONG LIFE 5W30 5L,,,5L,GML5L,,,
,,LONG LIFE 5W30 4L,,,4L,GML4L,,,
,,LONG LIFE 5W30 1L,,,1L,GML1L,,,
,SYNER-G 5W-40,SYNER-G 5W40 205L,"Синтетичне моторне мастило                                                                                               Допуски виробників: MB 229.1, MB 229.3; VW 502 00, VW 505 00; BMW LL-98; RN0700, RN0710; PORSCHE
Сервісна класифікація: ACEA A3/B4; API SM/CF",,205L,SYN205L,"Полностью синтетическое высокоэффективное масло 5W-40 для автомобилей с бензиновыми и дизельными двигателями, в том числе с системой впрыска топлива и многоклапанных.
Низкая вязкость обеспечивает быстрый ток масла при запуске.

Comma рекомендует использовать данный продукт в перечисленных ниже случаях. MB 229.5, MB 226.5; PSA B71 2296; VW 502 00, VW 505 00; RN0700, RN0710; BMW LL-01; PORSCHE A40; ACEA A3/B4; API SN CF",,
,,SYNER-G 5W40 20L,,,20L,SYN20L,,,
,,SYNER-G 5W40 5L,,,5L,SYN5L,,,
,,SYNER-G 5W40 4L,,,4L,SYN4L,,,
,,SYNER-G 5W40 1L,,,1L,SYN1L,,,
,PD PLUS 5W-40,PD PLUS 5W40 20L,"Синтетичне моторне мастило                                                                                               Допуски виробників: FORD WSS M2C917-A VW 505 01/VW502 00/VW 505 00, MB229.31, BMW LL-04
Сервісна класифікація: ACEA C3, API SM/CF",,20L,DPD20L,"Полностью синтетическое высокоэффективное масло 5W-40 для автомобилей, оснащенных VW 'Pumpe Düse' PD или двигателем с насос-форсунками. Также защищает устройства дополнительной очистки выхлопных газов.
Не смешивайте это масло с другими типами масел. В противном случае защита устройства дополнительной очистки выхлопных газов не может быть гарантирована.

Comma рекомендует использовать данный продукт в перечисленных ниже случаях. FORD WSS M2C917-A; VW 502 00, VW 505 00, VW 505 01; BMW LL-04; MB 229.31; ACEA C3; API SN CF",,
,,PD PLUS 5W40 5L,,,5L,DPD5L,,,
,,PD PLUS 5W40 4L,,,4L,DPD4L,,,
,,PD PLUS 5W40 1L,,,1L,DPD1L,,,
,PRO-NRG 0W-20,PRO-NRG 0W20 4L,Синтетичне моторне мастило                                                                                                      Допуски виробників та сервісна класифікація: API SN; ILSAC GF-4 / GF-5,,4L,NRG4L,"Полностью синтетическое высокоэффективное масло 0W-20 для современных автомобилей с бензиновыми двигателями, а также для большинства автомобилей с гибридными бензиново-электрическими двигателями.

Comma рекомендует использовать данный продукт в перечисленных ниже случаях. API SN; ILSAC GF-4, GF-5",,
,,PRO-NRG 0W20 1L,,,1L,NRG1L,,,
,ECO-F 5W20,ECO-F 5W20 5L,Синтетичне моторне мастило                                                                                                      Допуски виробників та сервісна класифікація: FORD WSS M2C948-B;                                               ACEA A1/B1; API SN. Для двигунів EcoBoost.,,4L,ECF4L,"Полностью синтетическое, высококачественное масло 5W-20, пригодное для использования в двигателях EcoBoost последнего поколения.

Comma рекомендует использовать данный продукт в перечисленных ниже случаях. FORD WSS M2C948-B; ACEA A1/B1; API SN",,
,,ECO-F 5W20 1L,,,1L,ECF1L,,,
,MOTORSPORT                     5W-50,MOTORSPORT 5W50 5L,"Синтетичне моторне мастило                                                                                               Допуски виробників: Caterham approved
Сервісна класифікація: ACEA A3/B3 API SL/CF",,5L,MS5L,"Полностью синтетическое высокоэффективное масло 5W-50 для спортивных автомобилей и использования на автотреке. Высокие эксплуатационные характеристики подтверждены в экстремальных условиях автогонок.

Эксплуатационная классификация: Suitable for replacing ACEA A3/B3; API SL CF, SAE 5W-40, 10W-40 & 15W-40 oils in Motorsport applications",,
,,MOTORSPORT 5W50 1L,,,1L,MS1L,,,
,X-TECH 5W-30,X-TECH 5W30 205L,"Синтетичне моторне мастило                                                                                               Допуски виробників: FORD WSS-M2C913-C
Сервісна класифікація: ACEA A5/B5; API SL/CF",,205L,XTC205L,"Полностью синтетическое высокоэффективное масло 5W-30 для автомобилей Ford с двигателями DuraTec, DuraTorq и Zetec, обеспечивающее экономию топлива на уровне масел класса ACEA A5/B5.
Подходит для автомобилей с бензиновыми и дизельными двигателями, в том числе с впрыском топлива, многоклапанными и с турбонаддувом.

Comma рекомендует использовать данный продукт в перечисленных ниже случаях. FORD WSS-M2C913-D, WSS-M2C913-C, WSS-M2C913-B, WSS-M2C913-A; ACEA A5/B5; API SL CF",,
,,X-TECH 5W30 60L,,,60L,XTC60L,,,
,,X-TECH 5W30 20L,,,20L,XTC20L,,,
,,X-TECH 5W30 5L,,,5L,XTC5L,,,
,,X-TECH 5W30 4L,,,4L,XTC4L,,,
,,X-TECH 5W30 2L,,,2L,XTC2L,,,
,,X-TECH 5W30 1L,,,1L,XTC1L,,,
,EUROLITE                  10W-40,EUROLITE 10W40 205L,"Напівсинтетичне моторне мастило                                                                                                        Допуски виробників: MB 229.1; VW 501 01, VW 505 00
Сервісна класифікація: ACEA A3/B4; API SL CF",,205L,EUL205L,"Полусинтетическое высокоэффективное масло 10W-40 для автомобилей с бензиновыми и дизельными двигателями, в том числе с системой впрыска топлива и многоклапанных.

Comma рекомендует использовать данный продукт в перечисленных ниже случаях. MB 229.3; VW 501 01, VW 505 00; ACEA A3/B4; API SN CF",,
,,EUROLITE 10W40 60L,,,60L,EUL60L,,,
,,EUROLITE 10W40 20L,,,20L,EUL20L,,,
,,EUROLITE 10W40 5L,,,5L,EUL5L,,,
,,EUROLITE 10W40 4L,,,4L,EUL4L,,,
,,EUROLITE 10W40 2L,,,2L,EUL2L,,,
,,EUROLITE 10W40 1L,,,1L,EUL1L,,,
,XT2000                  15W-40,XT2000 15W40 205L,"Напівсинтетичне моторне мастило                                                                                                        Допуски виробників: MB 229.1; VW 501 01, VW 505 00
Сервісна класифікація: ACEA A3/B3; API SL CF",,205L,XT2205L,"Полусинтетическое высокоэффективное масло 15W-40 для автомобилей с бензиновыми и дизельными двигателями, в том числе с системой впрыска топлива и многоклапанных.

Comma рекомендует использовать данный продукт в перечисленных ниже случаях. MB 229.1, MB 228.3; VW 501 01, VW 505 00; ACEA A3/B4; API SL CF CG-4",,
,,XT2000 15W40 20L,,,20L,XT220L,,,
,,XT2000 15W40 5L,,,5L,XT25L,,,
,,XT2000 15W40 4L,,,4L,XT24L,,,
,,XT2000 15W40 1L,,,1L,XT21L,,,
,X-FLOW TYPE V                   5W-30,X-FLOW V 5W30 199L,Синтетичне моторне мастило                                                                                               Допуски виробників: VW 504.00/VW 507.00,,199L,XFV199L,"Полностью синтетическое масло 5W-30 для автомобилей группы VW/Audi с бензиновыми и дизельными двигателями, рассчитанное на долгий срок службы. Низкая вязкость обеспечивает быстрый ток масла при запуске.

Comma рекомендует использовать данный продукт в перечисленных ниже случаях. VW 504 00, VW 507 00",,
,,X-FLOW V 5W30 25L,,,25L,XFV25L,,,
,,X-FLOW V 5W30 5L,,,5L,XFV5L,,,
,,X-FLOW V 5W30 4L,,,4L,XFV4L,,,
,,X-FLOW V 5W30 1L,,,1L,XFV1L,,,
,X-FLOW TYPE Z                   5W-30,X-FLOW Z 5W30 SYNT. 25L,"Синтетичне моторне мастило                                                                                               Допуски виробників: MB 229.31, MB 229.51; BMW LL-04
Сервісна класифікація: ACEA C3; API SL CF
",,25L,XFZ25L,"Полностью синтетическое 5W-30 с низким уровнем сульфатной зольности и низким содержанием фосфора и серы для современных бензиновых и дизельных двигателей с устройствами доочистки выхлопных газов, требующие уровня ACEA C3.

Comma рекомендует использовать данный продукт в перечисленных ниже случаях. MB 229.31, MB 229.51; BMW LL-04; ACEA C3 API SL CF",,
,,X-FLOW Z 5W30 SYNT. 5L,,,5L,XFZ5L,,,
,,X-FLOW Z 5W30 SYNT. 1L,,,1L,XFZ1L,,,
,X-FLOW TYPE P                   5W-30,X-FLOW P 5W30 SYNT. 25L,"Синтетичне моторне мастило                                                                                               Допуски виробників: PSA B71 2290
Сервісна класифікація: ACEA ACEA C2; API SM CF",,25L,XFP25L,"Полностью синтетическое 5W-30 с низким уровнем сульфатной зольности и низким содержанием фосфора и серы для современных бензиновых и дизельных двигателей с устройствами доочистки выхлопных газов, требующие уровня ACEA C2.

Comma рекомендует использовать данный продукт в перечисленных ниже случаях. PSA B71 2290; ACEA C2, API SM CF",,
,,X-FLOW P 5W30 SYNT. 5L,,,5L,XFP5L,,,
,,X-FLOW P 5W30 SYNT. 1L,,,1L,XFP1L,,,
,X-FLOW TYPE LL                  5W-30,X-FLOW LL 5W30 SYNT. 25L,"Синтетичне моторне мастило                                                                                               Допуски виробників: GM-LL-A-025/GM-LL-B-025, VW 502 00/VW 505 00
Сервісна класифікація: ACEA A3/B3, A3/B4, API SL/CF",,25L,XFLL25L,"Полностью синтетическое масло 5W-30 для автомобилей GM/Opel с бензиновыми и дизельными двигателями, рассчитанное на долгий срок службы. Низкая вязкость обеспечивает быстрый ток масла при запуске.

Comma рекомендует использовать данный продукт в перечисленных ниже случаях. GM-LL-A-025, GM-LL-B-025; VW 502 00, VW 505 00; MB 229.3; ACEA A3/B4; API SL CF",,
,,X-FLOW LL 5W30 SYNT. 5L,,,5L,XFLL5L,,,
,,X-FLOW LL 5W30 SYNT. 4L,,,4L,XFLL4L,,,
,,X-FLOW LL 5W30 SYNT. 1L,,,1L,XFLL1L,,,
,X-FLOW TYPE PD            5W-40,X-FLOW PD 5W40 SYNT. 25L,"Синтетичне моторне мастило                                                                                               Допуски виробників: VW 505 01, FORD WSS M2C917-A
Сервісна класифікація: ACEA C3, API SL/CF
",,25L,XFPD25L,"Полностью синтетическое масло 5W-40 для автомобилей, оснащенных VW 'Pumpe Düse' PD или двигателем с насос-форсунками. Низкая вязкость обеспечивает быстрый ток масла при запуске.

Comma рекомендует использовать данный продукт в перечисленных ниже случаях. VW 505 01; FORD WSS-M2C917-A; ACEA C3; API SL CF",,
,,X-FLOW PD 5W40 SYNT. 5L,,,5L,XFPD5L,,,
,,X-FLOW PD 5W40 SYNT. 4L,,,4L,XFPD4L,,,
,,X-FLOW PD 5W40 SYNT. 1L,,,1L,XFPD1L,,,
,X-FLOW TYPE G            5W-40,X-FLOW G 5W40 SYNT. 199L,"Синтетичне моторне мастило                                                                                               Допуски виробників: MB 229.1, VW 502 00/VW 505 00
Сервісна класифікація: ACEA A3/B3 API SL/CF
",,199L,XFG199L,"Полностью синтетическое масло 5W-40 подходит для автомобилей с бензиновыми и дизельными двигателями, в том числе с впрыском топлива, многоклапанными и с турбонаддувом.

Comma рекомендует использовать данный продукт в перечисленных ниже случаях. MB 229.1; VW 502 00, VW 505 00; RN0700, RN0710; ACEA A3/B4; API SL CF",,
,,X-FLOW G 5W40 SYNT. 60L,,,60L,XFG60L,,,
,,X-FLOW G 5W40 SYNT. 25L,,,25L,XFG25L,,,
,,X-FLOW G 5W40 SYNT. 5L,,,5L,XFG5L,,,
,,X-FLOW G 5W40 SYNT. 4L,,,4L,XFG4L,,,
,,X-FLOW G 5W40 SYNT. 1L,,,1L,XFG1L,,,
,X-FLOW TYPE F              PLUS 5W-30,X-FLOW F PL.5W30 SYN.199L,"Синтетичне моторне мастило                                                                                               Допуски виробників: Ford WSS-M2C913-A/913-B
Сервісна класифікація: ACEA A1/B1; API SL, CF",,199L,XFFP199L,"Полностью синтетическое масло 5W-30 подходит для автомобилей Ford с бензиновыми и дизельными двигателями, в том числе с Zetec и с выпущенными до 2009 г. двигателями DuraTec и DuraTorq. Низкая вязкость обеспечивает быстрый ток масла при запуске.

Comma рекомендует использовать данный продукт в перечисленных ниже случаях. FORD WSS-M2C913-A, WSS-M2C913-B; ACEA A1/B1; API SL CF",,
,,X-FLOW F PL.5W30 SYN. 25L,,,25L,XFFP25L,,,
,,X-FLOW F PLUS 5W30 SYN.5L,,,5L,XFFP5L,,,
,,X-FLOW F PLUS 5W30 SYN.4L,,,4L,XFFP4L,,,
,,X-FLOW F PLUS 5W30 SYN.1L,,,1L,XFFP1L,,,
,X-FLOW TYPE F               5W-30,X-FLOW F 5W30 SEMI. 199L,"Напівсинтетичне моторне мастило                                                                                               Допуски виробників: Ford Zetec engines
Сервісна класифікація: ACEA A1/B1 API SL/CF ",,199L,XFF199L,"Полусинтетическое масло 5W-30 подходит для автомобилей с бензиновыми и дизельными двигателями, в том числе с впрыском топлива, многоклапанными и с турбонаддувом.

Comma рекомендует использовать данный продукт в перечисленных ниже случаях. ACEA A1/B1; API SL CF",,
,,X-FLOW F 5W30 SEMI. 60L,,,60L,XFF60L,,,
,,X-FLOW F 5W30 SEMI. 25L,,,25L,XFF25L,,,
,,X-FLOW F 5W30 SEMI. 5L,,,5L,XFF5L,,,
,,X-FLOW F 5W30 SEMI.4L,,,4L,XFF4L,,,
,,X-FLOW F 5W30 SEMI. 1L,,,1L,XFF1L,,,
,X-FLOW TYPE XS             10W-40,X-FLOW XS 10W40 SEMI. 199,"Напівсинтетичне моторне мастило                                                                                               
Сервісна класифікація: ACEA A3/B3 API SL CF
",,199L,XFXS199L,"Полусинтетическое масло 10W-40 подходит для автомобилей с бензиновыми и дизельными двигателями, в том числе с впрыском топлива, многоклапанными и с турбонаддувом.

Comma рекомендует использовать данный продукт в перечисленных ниже случаях. ACEA A3/B3; API SL CF",,
,,X-FLOW XS 10W40 SEMI. 60L,,,60L,XFXS60L,,,
,,X-FLOW XS 10W40 SEMI. 25L,,,25L,XFXS25L,,,
,,X-FLOW XS 10W40 SEMI. 5L,,,5L,XFXS5L,,,
,,X-FLOW XS 10W40 SEMI. 4L,,,4L,XFXS4L,,,
,,X-FLOW XS 10W40 SEMI. 1L,,,1L,XFXS1L,,,
,X-FLOW TYPE S             10W-40,X-FLOW S 10W40 SEMI. 199L,"Напівсинтетичне моторне мастило                                                                                               Допуски виробників: MB 229.1, VW 501 01 / VW 505 00
Сервісна класифікація: ACEA A3/B3 API SL CF
",,199L,XFS199L,"Полусинтетическое масло 10W-40 подходит для автомобилей с бензиновыми и дизельными двигателями, в том числе с впрыском топлива, многоклапанными и с турбонаддувом

Comma рекомендует использовать данный продукт в перечисленных ниже случаях. MB 229.1; VW 501 01, VW 505 00; ACEA A3/B3; API SL CF",,
,,X-FLOW S 10W40 SEMI. 60L,,,60L,XFS60L,,,
,,X-FLOW S 10W40 SEMI. 25L,,,25L,XFS25L,,,
,,X-FLOW S 10W40 SEMI. 5L,,,5L,XFS5L,,,
,,X-FLOW S 10W40 SEMI. 4L,,,4L,XFS4L,,,
,,X-FLOW S 10W40 SEMI. 1L,,,1L,XFS1L,,,
,X-FLOW TYPE MF                15W-40,X-FLOW MF 15W40 MIN. 199L,"Мінеральне моторне мастило                                                                                               Допуски виробників: MB 228.1, MB 229.1, VW 501 01/VW 505 00
Сервісна класифікація: ACEA A3/B3, API SL/CF, CG-4
",,199L,XFMF199L,"Минеральное масло 15W-40 подходит для автомобилей с бензиновыми и дизельными двигателями, в том числе с впрыском топлива, многоклапанными и с турбонаддувом.

Comma рекомендует использовать данный продукт в перечисленных ниже случаях. MB 228.1, MB 229.1; VW 501 01, VW 505 00; ACEA A3/B3; API SL CF CG-4",,
,,X-FLOW MF 15W40 MIN. 60L,,,60L,XFMF60L,,,
,,X-FLOW MF 15W40 MIN. 25L,,,25L,XFMF25L,,,
,,X-FLOW MF 15W40 MIN. 5L,,,5L,XFMF5L,,,
,,X-FLOW MF 15W40 MIN. 4L,,,4L,XFMF4L,,,
,,X-FLOW MF 15W40 MIN. 1L,,,1L,XFMF1L,,,
,X-FLOW TYPE SP                20W-50,X-FLOW SP 20W50 MIN. 4L,"Мінеральне моторне мастило                                                                                            
Сервісна класифікація: API SE CC                            ",,4L,XFSP4L,"Классическое всесезонное моторное масло для бензиновых двигателей с большим пробегом и нетурбированных дизельных двигателей.

Эксплуатационная классификация: ACEA A3/B3 API SL CF",,
,МАСТИЛА ДЛЯ ВАНТАЖНИХ АВТОМОБІЛІВ ТА С/Г ТЕХНІКИ,,,,,,,,
,TRANSFLOW FE 5W30,TRANSFLOW FE 5W30 205L,"Синтетичне моторне мастило                                                                                               Допуски виробників: MB 228.5; MAN 3277; DAF HP-1, HP-2; Volvo VDS-3; MTU Type 3
Сервісна класифікація: ACEA E4 / E7; API CH-4                                 ",,205L,TFFE205L,"Применимо для многих коммерческих автомобилей с двигателями большого объема последнего поколения.

Идеально для экономии топлива.

Эксплуатационная классификация: ACEA E4 E7; API CH-4

Comma рекомендует использовать данный продукт в перечисленных ниже случаях. MB 228.5; MAN 3277; DAF HP-1/HP-2; Volvo VDS-3; MTU Type 3",,
,,TRANSFLOW FE 5W30 20L,,,20L,TFFE20L,,,
,TRANSFLOW UD 10W40,TRANSFLOW UD 10W40 205L,"Синтетичне моторне мастило                                                                                               Допуски виробників: MB 228.5; MAN 3277; DAF HP-1, HP-2; Volvo VDS-3; MTU Type 3
Сервісна класифікація: ACEA E4 / E7; API CH-4                                   ",,205L,TFUD205L,"Подходит для дизельных двигателей большой мощности, в том числе с турбонаддувом и безнаддувных.

Пониженная сульфатная зольность и низкое содержание фосфора и серы обеспечивает защиту двигателя и оборудования снижения токсичности отработавших газов.

Эксплуатационная классификация: ACEA E6 E7

Comma рекомендует использовать данный продукт в перечисленных ниже случаях. Volvo VDS-3; RVI RLD-2; MTU Type 3.1; MACK EO-N

Официальное одобрение:
TransFlow UD 10W-40 is officially approved by: MAN 3477; MB-Approval 228.51",,
,,TRANSFLOW UD 10W40 20L,,,20L,TFUD20L,,,
,,TRANSFLOW UD 10W40 5L,,,5L,TFUD5L,,,
,TRANSFLOW AD 10W40,TRANSFLOW AD 10W40 205L,"Напівсинтетичне моторне мастило                                                                                               Допуски виробників: Volvo VDS-3; Renault RLD2; MB 228.3, MB 229.1; MAN 3275; Cummins CES 20077/78; MTU Type 2; Mack EO-M+
Сервісна класифікація: ACEA A3/B4 E7; API CI-4 SL                                                                  Офіційно схвалено автовиробниками: Volvo VDS-3, MACK EO-N, Renault RLD-2                                       ",,205L,TFAD205L,"Подходит для дизельных двигателей большой мощности, в том числе с турбонаддувом и безнаддувных.

Идеально подходит для смешанных грузовых автопарков.

Эксплуатационная классификация: ACEA A3/B4 E7; API CI-4 SL

Comma рекомендует использовать данный продукт в перечисленных ниже случаях. MAN 3275; Cummins CES 20077/78; MTU Type 2; Mack EO-M+

Официальное одобрение:
TransFlow AD 10W-40 is officially approved by: MB-Approval 228.3; Volvo VDS-3; Renault RLD-2; MACK EO-N",,
,,TRANSFLOW AD 10W40 20L,,,20L,TFAD20L,,,
,,TRANSFLOW AD 10W40 5L,,,5L,TFAD5L,,,
,TRANSFLOW GX 15W40,TRANSFLOW GX 15W40 205L,"Мінеральне моторне мастило                                                                                               Допуски виробників: MB 228.31; MAN 3275; Volvo VDS-4; RVI RLD-3; Cat ECF-3; Cummins CES 20081; MACK EO-O Premium Plus
Сервісна класифікація: ACEA E9; API CJ-4 SM                                                                Офіційно схвалено автовиробниками: Volvo VDS-4; Renault RLD-3; MACK EO-O Premium Plus                                      ",,205L,TFGX205L,"Применимо для использования в дизельных двигателях, отвечающих требованиям по регулированию вредных выбросов Euro 5.

Идеально подходит для использования с топливом с низкой серностью.

Эксплуатационная классификация: ACEA E9; API CJ-4 SM

Comma рекомендует использовать данный продукт в перечисленных ниже случаях. MB 228.31; MAN 3275; Cat ECF-3; Cummins CES 2008; Volvo VDS-4; Renault RLD-3; MACK EO-O Premium Plus",,
,,TRANSFLOW GX 15W40 20L,,,20L,TFGX20L,,,
,,TRANSFLOW GX 15W40 5L,,,5L,TFGX5L,,,
,TRANSFLOW SD 15W40,TRANSFLOW SD 15W40 205L,"Мінеральне моторне мастило                                                                                               Допуски виробників: MB 228.3/229.1; MAN 3275; Volvo VDS-3; Cummins CES 20071/72/76/77/78; Renault RLD; MACK EO-M+; MTU Type 2; CAT ECF-1a
Сервісна класифікація: ACEA A3/B4 E7; API CI-4 SL                                                               Офіційно схвалено автовиробниками: Volvo VDS-3, MACK EO-N, Renault RLD-2                               ",,205L,TFSD205L,"Подходит для тяжелых дизельных двигателей, в том числе с турбонаддувом и безнаддувных.

Идеально для защиты двигателя.

Эксплуатационная классификация: ACEA A3/B4 E7; API CI-4 SL

Comma рекомендует использовать данный продукт в перечисленных ниже случаях. MAN 3275; Cummins CES 20071/72; Renault RLD; MACK EO-M+; MTU Type 2; CAT ECF-1a

Официальное одобрение:
TransFlow SD 15W-40 is officially approved by: MB-Approval 228.3; Volvo VDS-3; MACK EO-N; Renault RLD-2; Cummins CES 20076/77/78 ",,
,,TRANSFLOW SD 15W40 60L,,,60L,TFSD60L,,,
,,TRANSFLOW SD 15W40 20L,,,20L,TFSD20L,,,
,,TRANSFLOW SD 15W40 5L,,,5L,TFSD5L,,,
,TRANSFLOW LX 15W40 ,TRANSFLOW LX 15W40 205L,"Мінеральне моторне мастило                                                                                               Допуски виробників: MB228.1, MB229.1; VW 501 01, VW 505 00                                                                 Сервісна класифікація: ACEA A3/B3 E2-Level API CF CG-4 SL                                ",,205L,TFLX205L,"Подходит для автомобилей с бензиновыми и дизельными двигателями, в том числе с впрыском топлива, многоклапанными и с турбонаддувом.

Идеально для защиты двигателя.

Эксплуатационная классификация: ACEA A3/B3 E2-Level; API CF CG-4 SL

Comma рекомендует использовать данный продукт в перечисленных ниже случаях. MB228.1, MB229.1; VW 501 01, VW 505 00",,
,,TRANSFLOW LX 15W40 20L,,,20L,TFLX20L,,,
,,TRANSFLOW LX 15W40 5L,,,5L,TFLX5L,,,
,TRANSFLOW XP 20W50,TRANSFLOW XP 20W50 205L,"Мінеральне моторне мастило                                                                                               Допуски виробників: MB 228.3, MB 229.1; MAN 3275
Сервісна класифікація: ACEA A3/B3 уровень E3; API CF CG-4 SL                                                                                          ",,205L,TFXP205L,"Подходит для автомобилей с бензиновыми и дизельными двигателями, в том числе с впрыском топлива, многоклапанными и с турбонаддувом.

Идеально для защиты двигателя.

 

Эксплуатационная классификация: ACEA A3/B3 E3-Level; API CF CG-4 SL

Comma рекомендует использовать данный продукт в перечисленных ниже случаях. MB 228.3, MB 229.1; MAN 3275",,
,,TRANSFLOW XP 20W50 60L,,,60L,TFXP60L,,,
,,TRANSFLOW XP 20W50 20L,,,20L,TFXP20L,,,
,,TRANSFLOW XP 20W50 5L,,,5L,TFXP5L,,,
,ТРАНСМІСІЙНІ МАСТИЛА ТА МАСТИЛА ДЛЯ АКП,,,,,,,,
